1,Willis Collins,Dallas
2,Casey Brady,Chicago
3,Walker Wong,SanJose
4,Randall Weeks,SanDiego
5,Gerardo Dorsey,Dallas
6,Max Andrews,SanJose
7,Valarie Dalton,Phoenix
8,Joyce Mcintyre,NewJersey
9,Doug Rodriguez,NewYork
10,Edgardo Leonard,Seattle
11,Josephine Hall,SanJose
12,Concetta Sweet,NewJersey
13,Josh Eaton,Dallas
14,Angeline Tanner,Philadelphia
15,Eliseo Cole,Boston
16,Thaddeus Blanchard,Chicago
17,Guy England,Chicago
18,Sharlene Boyle,NewJersey
19,Katina Terry,Philadelphia
20,Elijah Merrill,Seattle
21,Art Contreras,Boston
22,Jared Hall,Houston
23,Jeanne Schwartz,NewJersey
24,Tom Weaver,Boston
25,Marvin Mcmillan,Philadelphia
26,Murray Castro,Dallas
27,Dolores Rush,SanJose
28,Trey Cain,Austin
29,Stacy Carver,Philadelphia
30,Nolan Mayer,Houston
31,Marcelo Wheeler,Boston
32,Jimmie Aguilar,Seattle
33,Darryl Wyatt,Seattle
34,Alfred Rosa,Boston
35,Robby Everett,Chicago
36,Aida Moses,Boston
37,Roberto Ferrell,SanJose
38,Ronald Sanchez,Seattle
39,Calvin Mckinney,SanDiego
40,Mallory Beard,Austin
41,Hilda Ortega,Seattle
42,Gilbert Grant,SanJose
43,Octavio Hickman,Philadelphia
44,Sofia Simon,SanDiego
45,Clint Fuller,Chicago
46,Lionel Sawyer,NewJersey
47,Rene Gaines,Philadelphia
48,Earlene Knapp,SanDiego
49,Austin Wood,Austin
50,Hershel Carter,LosAngeles
51,Salvatore Reed,Philadelphia
52,Jeri Jefferson,Austin
53,Valerie Vinson,Houston
54,Mario Holland,NewYork
55,David Ratliff,LosAngeles
56,Georgina Wheeler,Chicago
57,Roy Baird,NewYork
58,Stacey Clemons,NewYork
59,Wilda Salazar,SanDiego
60,Dorothy Reyes,SanDiego
61,Jennifer Fisher,Boston
62,Carter Cline,Boston
63,Annie Farley,Dallas
64,Bobby Lindsey,Philadelphia
65,Juliet Gross,Phoenix
66,Candice Johns,Dallas
67,Robin Hyde,LosAngeles
68,Calvin Mooney,LosAngeles
69,Reid Farley,Chicago
70,Maritza Davis,Dallas
71,Josue Franks,NewYork
72,Eva Saunders,Austin
73,Antonia Randall,SanJose
74,Sheryl Lee,NewYork
75,Sherri Dalton,Boston
76,Christoper Reyes,Houston
77,Kenya Frederick,NewYork
78,Elaine Vaughn,SanJose
79,Gerry Cain,LosAngeles
80,Elisabeth Benjamin,NewJersey
81,Rigoberto Fuentes,Chicago
82,Mabel Cox,NewYork
83,Beryl Waters,LosAngeles
84,Bobbi Roberson,SanDiego
85,Luz Wilcox,SanAntonio
86,Edwina Herrera,LosAngeles
87,Madeleine Padilla,Philadelphia
88,Billie Hale,Austin
89,Lyle Santana,Austin
90,Robbie Sanders,Dallas
91,Tabitha Dodson,LosAngeles
92,Julia Morris,Houston
93,Gonzalo Riley,Seattle
94,Aurelio Lyons,Austin
95,Sonja Melendez,SanJose
96,Joanne Romero,Philadelphia
97,Dick Morrison,SanJose
98,Ruth Trujillo,NewJersey
99,Major Rosales,Phoenix
100,Dante Harrison,Phoenix
101,Colin Burks,NewJersey
102,Freida Pickett,Boston
103,Stan Humphrey,NewYork
104,Kerry Cobb,Seattle
105,Aldo Lucas,Austin
106,Carroll Russell,SanJose
107,Young Doyle,Philadelphia
108,Frieda Mayo,Dallas
109,Dona Berger,SanDiego
110,Trent Bruce,Austin
111,Deena Gonzales,SanJose
112,Irvin Mcmillan,SanAntonio
113,Rudolph Duran,Houston
114,Beverly Stout,SanJose
115,Robby Hess,Austin
116,Frederic Miranda,Houston
117,Kristina Mendoza,Phoenix
118,Freddie Potter,Seattle
119,Francine Swanson,Phoenix
120,Leila Andrews,Seattle
121,Francis Maddox,NewYork
122,Lisa Mcconnell,SanDiego
123,Johnathon William,Boston
124,Gertrude Whitley,SanJose
125,Kristina Cotton,Phoenix
126,Chang Waters,NewJersey
127,Clinton Harmon,Dallas
128,Debbie Roy,Austin
129,Alba Dillard,NewJersey
130,Matthew Allen,SanDiego
131,Miguel Fisher,Houston
132,Carol Combs,Phoenix
133,Luisa Henson,Austin
134,Kathie Shepherd,Austin
135,Steve Savage,Austin
136,Lupe Bright,LosAngeles
137,Monte Knapp,Phoenix
138,Alfonso Bass,SanAntonio
139,Jimmie Rogers,Houston
140,Rena Cruz,Boston
141,Lyman Sweet,LosAngeles
142,Wilmer Morales,SanDiego
143,Gena Rodgers,Houston
144,Bud Monroe,Boston
145,Truman Woodard,Austin
146,Paige Bartlett,NewYork
147,Patsy Williams,NewYork
148,Trisha Norton,SanDiego
149,Kay Pollard,Phoenix
150,Enrique Richards,Chicago
151,Merle Torres,Seattle
152,Franklin Pruitt,Seattle
153,Tanya Porter,Austin
154,Barbra Baird,Austin
155,Gertrude Delgado,Austin
156,Wilford Alford,NewJersey
157,Renee Reilly,NewJersey
158,Sophie Dodson,LosAngeles
159,Hollis Oneill,Phoenix
160,Amalia Dudley,Houston
161,Harold Sloan,Austin
162,Gilberto Coffey,SanJose
163,Edmond Kidd,SanDiego
164,Thad Eaton,SanAntonio
165,Nicole Grant,Chicago
166,Evan Rutledge,Chicago
167,Coleen Forbes,SanAntonio
168,Walker Bass,Seattle
169,Beulah Talley,Seattle
170,Arron Booker,NewYork
171,Marie Townsend,NewYork
172,Traci Mcknight,LosAngeles
173,Marina Gallagher,LosAngeles
174,William Cardenas,SanAntonio
175,Liz Raymond,Phoenix
176,Elijah Faulkner,Boston
177,Neil Hess,Dallas
178,Collin Luna,SanDiego
179,Pierre Hodge,SanAntonio
180,Lucy Slater,Phoenix
181,Felipe Rosa,SanJose
182,Traci Monroe,NewJersey
183,Adriana Duran,Boston
184,Harry Beard,Chicago
185,Cheryl Monroe,Austin
186,Kristina Moran,Dallas
187,Earnest Thomas,Philadelphia
188,Mauro Wagner,Boston
189,Claudio Justice,NewYork
190,Kendrick Ford,SanDiego
191,Noreen Lang,SanJose
192,Taylor Trevino,Houston
193,Isaiah Roach,Boston
194,Juliette Brock,SanJose
195,Peggy Mills,Chicago
196,Darin Pittman,Dallas
197,Monique Ramirez,Philadelphia
198,Kevin Justice,SanJose
199,Leona Albert,Philadelphia
200,Jake Madden,Austin
201,Philip Greer,Houston
202,Kimberly Donovan,Boston
203,Johnathan Holloway,LosAngeles
204,Reyes Steele,Phoenix
205,Lanny Wise,Chicago
206,Reyes Strickland,SanAntonio
207,Tracey Avery,Seattle
208,Meagan Manning,LosAngeles
209,Dee Morris,SanDiego
210,Jerald Mccormick,Boston
211,Wilburn Dalton,Boston
212,Gayle Munoz,Dallas
213,Millard Conrad,Houston
214,Felix Atkins,Seattle
215,Beau Adams,Chicago
216,Carey Bowen,Houston
217,Casey Rosales,Philadelphia
218,Nelda Calhoun,Austin
219,Beth Albert,NewJersey
220,Shane Blackwell,Seattle
221,Heather Pacheco,SanDiego
222,Shaun Odom,Seattle
223,Effie Mcbride,Dallas
224,Jimmie Sandoval,SanAntonio
225,Estela Garner,SanAntonio
226,Dora Gross,SanJose
227,Clyde Zimmerman,SanDiego
228,Luis Maxwell,Philadelphia
229,Jason Greene,SanJose
230,Casey Barr,Phoenix
